qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
NP204	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingobium; s__	98.177	1097	8	12	17	1104	1	1094	0	1905
NP229	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingobium; s__	97.531	1134	17	11	1	1123	34	1167	0	1929
NP173	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Variovorax; s__paradoxus	94.969	974	5	44	14	946	12	982	0	1487
NP94	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Herbaspirillum; s__	99.241	1054	6	2	1	1052	10	1063	0	1901
NP69	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__	97.036	1147	9	25	1	1122	41	1187	0	1906
NP31	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	99.024	1025	1	9	1	1016	41	1065	0	1829
NP128	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__gladioli	98.573	1051	11	4	1	1047	41	1091	0	1855
NP107	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Leifsonia; s__poae	97.426	1088	19	9	1	1080	32	1118	0	1845
NP146	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__	99.124	1027	9	0	3	1029	47	1073	0	1847
NP168	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingobium; s__	98.657	968	13	0	11	978	46	1013	0	1716
NP226	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingopyxis; s__alaskensis	98.389	1055	6	9	17	1060	46	1100	0	1844
NP38	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	99.294	992	1	6	1	987	40	1030	0	1788
NP42	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__; s__	98.549	1034	7	8	1	1026	18	1051	0	1820
NP172	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__viridiflava	99.123	1026	5	4	1	1023	43	1067	0	1842
NP53	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Ralstonia; s__	97.388	1072	8	20	1	1052	40	1111	0	1807
NP74	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Comamonas; s__	99.121	1024	3	6	1	1018	2	1025	0	1836
NP192	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__viridiflava	97.734	1015	7	16	1	999	40	1054	0	1733
NP18	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.928	1026	1	10	1	1016	40	1065	0	1825
NP28	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Lysinibacillus; s__boronitolerans	98.647	1035	4	10	1	1025	11	1045	0	1825
NP144	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__mycoides	99.416	1027	4	2	12	1037	1	1026	0	1862
NP75	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__mycoides	99.21	1013	4	4	12	1020	1	1013	0	1823
NP142	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Arthrobacter; s__woluwensis	99.407	1012	2	4	1	1008	11	1022	0	1832
NP129	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Arthrobacter; s__nitroguajacolicus	99.013	1013	7	3	1	1010	31	1043	0	1812
NP81	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Arthrobacter; s__niigatensis	97.941	1020	14	7	1	1013	31	1050	0	1760
NP210	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__	98.017	1059	14	7	1	1052	30	1088	0	1832
NP237	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Providencia; s__	96.62	1065	13	23	1	1043	41	1104	0	1748
NP55	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.537	1025	5	10	1	1015	40	1064	0	1801
NP112	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Arthrobacter; s__niigatensis	98.626	1019	11	3	1	1016	31	1049	0	1801
NP106	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Microbacterium; s__	98.524	1016	7	7	1	1009	16	1030	0	1786
NP67	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__mycoides	99.505	1010	3	2	13	1020	1	1010	0	1836
NP130	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.745	1036	3	10	1	1026	40	1075	0	1832
NP07	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__	99.06	957	3	6	13	963	56	1012	0	1712
NP154	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingobium; s__	98.067	983	14	5	1	979	33	1014	0	1705
NP110	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__	98.61	1079	10	5	10	1084	50	1127	0	1906
NP84	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__	98.227	1015	5	13	7	1008	46	1060	0	1762
NP223	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Curtobacterium; s__	98.815	1013	8	4	5	1013	31	1043	0	1801
NP60	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__	98.035	1018	4	16	2	1003	6	1023	0	1755
NP68	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__	98.251	1029	5	13	2	1017	40	1068	0	1788
NP178	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Mycoplana; s__	98.281	1105	6	13	2	1094	33	1136	0	1923
NP213	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__	98.364	1039	13	4	2	1036	17	1055	0	1829
NP46	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__	99.215	1019	1	7	2	1013	40	1058	0	1831
NP143	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Klebsiella; s__oxytoca	97.762	1117	13	12	2	1106	39	1155	0	1914
NP151	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__	99.021	1021	2	8	2	1014	13	1033	0	1823
NP47	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__	96.539	1098	9	29	2	1070	40	1137	0	1790
NP06	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__thuringiensis	98.549	1034	3	12	2	1023	16	1049	0	1816
NP10	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__; s__	98.729	1023	5	8	2	1016	18	1040	0	1810
NP30	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__; s__	98.549	1034	6	9	2	1026	18	1051	0	1818
NP191	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__viridiflava	97.752	1023	5	18	7	1011	46	1068	0	1746
NP37	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__	99.163	1075	6	3	14	1085	55	1129	0	1932
NP88	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__	96.723	1129	10	27	3	1104	39	1167	0	1855
NP39	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__	97.059	1122	7	26	3	1098	40	1161	0	1866
NP136	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Arthrobacter; s__niigatensis	98.069	1036	14	6	3	1032	31	1066	0	1797
NP09	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.83	1026	3	9	3	1019	40	1065	0	1820
NP26	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__muralis	99.216	1020	4	4	3	1018	35	1054	0	1836
NP139	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__mycoides	99.802	1010	2	0	11	1020	1	1010	0	1855
NP36	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.729	1023	4	9	2	1015	40	1062	0	1808
NP132	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Arthrobacter; s__oxydans	98.522	1015	10	5	2	1011	40	1054	0	1786
NP160	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Bacillus; s__cereus	91.864	971	39	40	17	949	3	971	0	1319
NP83	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingobium; s__	99.131	1036	4	5	19	1052	1	1033	0	1858
NP138	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Arthrobacter; s__pascens	98.859	964	8	3	2	962	31	994	0	1716
NP141	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Arthrobacter; s__woluwensis	99.602	1005	1	3	2	1003	14	1018	0	1831
NP92	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__	98.824	1020	6	6	2	1015	32	1051	0	1812
NP182	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingobium; s__	98.019	1060	13	8	13	1065	46	1104	0	1834
NP222	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Ralstonia; s__	99.091	880	1	7	8	884	41	916	0	1574
NP34	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__Chryseobacterium; s__	98.182	990	13	5	13	998	26	1014	0	1724
NP177	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__epidermidis	98.341	1025	4	13	4	1016	40	1063	0	1786
NP238	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__	98.211	1006	12	6	12	1011	52	1057	0	1753
NP152	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__bryophila	97.051	1085	6	26	3	1061	30	1114	0	1803
NP82	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Arthrobacter; s__niigatensis	98.197	1109	15	5	3	1106	29	1137	0	1932
NP170	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Variovorax; s__paradoxus	97.614	1006	11	13	13	1006	1	1005	0	1712
NP212	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__mycoides	99.01	1010	4	6	12	1015	1	1010	0	1805
NP119	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Roseateles; s__depolymerans	98.463	976	5	10	7	972	38	1013	0	1711
NP108	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__gladioli	98.75	1200	9	6	7	1204	47	1242	0	2128
NP241	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__	97.961	1030	5	16	3	1016	41	1070	0	1772
NP44	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__; s__	97.333	1125	12	17	3	1109	19	1143	0	1895
NP239	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__mycoides	98.518	1012	5	10	11	1013	1	1011	0	1777
NP231	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Variovorax; s__paradoxus	97.089	1065	12	19	12	1057	1	1065	0	1777
NP245	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__Chitinophaga; s__	95.906	1026	30	12	13	1026	44	1069	0	1652
NP65	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Enterobacter; s__hormaechei	97.817	1008	8	14	15	1009	2	1008	0	1729
NP121	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__	98.945	1043	8	3	2	1041	42	1084	0	1862
NP111	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Microbacterium; s__	98.607	1005	4	9	4	999	16	1019	0	1770
NP215	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__	97.28	1066	6	23	15	1057	56	1121	0	1786
NP190	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Luteibacter; s__rhizovicinus	96.936	1077	6	27	6	1055	31	1107	0	1781
NP242	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Bacillus; s__cereus	98.483	989	11	4	13	997	1	989	0	1740
NP240	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__mycoides	98.812	1010	5	7	11	1013	1	1010	0	1792
NP122	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__mycoides	99.209	1011	6	2	12	1020	1	1011	0	1821
NP194	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingobium; s__	98.442	963	11	4	7	965	38	1000	0	1692
NP181	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__; g__; s__	98.695	996	8	5	9	1000	4	998	0	1762
NP70	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.73	1024	3	10	1	1014	39	1062	0	1810
NP16	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__	97.441	1094	6	22	1	1072	39	1132	0	1845
NP63	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__	98.557	970	2	12	1	959	5	973	0	1703
NP62	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__	94.207	984	8	49	1	936	38	1020	0	1456
NP78	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__	98.89	1081	10	2	1	1079	39	1119	0	1929
NP48	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__viridiflava	98.527	1018	6	9	1	1009	39	1056	0	1788
NP05	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.833	1028	3	9	1	1019	39	1066	0	1823
NP13	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__; s__	99.023	1024	4	6	1	1018	17	1040	0	1831
NP04	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	99.196	995	2	6	3	991	40	1034	0	1788
NP171	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__	98.634	1025	6	8	7	1023	7	1031	0	1808
NP24	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Delftia; s__	98.715	1012	3	10	1	1004	46	1055	0	1788
NP64	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__mycoides	99.02	1020	2	8	13	1024	1	1020	0	1821
NP126	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__	98.996	996	6	4	13	1004	52	1047	0	1781
NP102	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingobium; s__	98.289	1227	17	4	3	1225	35	1261	0	2146
NK01	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__	99.306	1009	4	3	12	1017	52	1060	0	1821
NK54	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__; s__	98.711	1086	6	8	1	1078	33	1118	0	1921
NK71	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__; s__	98.81	1008	3	9	6	1004	33	1040	0	1786
NK102	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__; s__	97.182	1100	12	19	4	1084	30	1129	0	1842
NK108	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__; s__	98.601	1001	3	11	7	997	35	1034	0	1760
NK154	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__; s__	98.1	1105	7	14	1	1091	32	1136	0	1912
NK166	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__; s__	98.312	1007	5	12	2	996	28	1034	0	1755
NK69	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Arthrobacter; s__globiformis	97.338	1052	8	19	1	1034	39	1088	0	1770
NK47	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__; s__	98.608	1006	9	5	3	1003	31	1036	0	1777
NK63	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__; s__	97.798	1090	9	15	4	1078	31	1120	0	1866
NK145	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__; s__	97.434	1091	9	19	1	1072	28	1118	0	1842
NK149	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__; s__	98.427	1017	4	11	3	1007	31	1047	0	1779
NK176	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__; s__	96.095	922	9	27	2	896	29	950	0	1478
NK201	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__; s__	98.522	1015	3	12	5	1007	33	1047	0	1781
NK250	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__; s__	98.295	997	7	10	12	998	36	1032	0	1738
NK67	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Arthrobacter; s__niigatensis	97.481	1072	13	14	2	1059	29	1100	0	1818
NK132	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Arthrobacter; s__niigatensis	97.423	1009	19	7	1	1002	31	1039	0	1712
NK136	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Arthrobacter; s__niigatensis	98.152	1082	16	4	1	1078	34	1115	0	1884
NK138	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Arthrobacter; s__niigatensis	96.795	1092	18	17	2	1077	31	1121	0	1807
NK150	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Arthrobacter; s__niigatensis	98.617	1012	10	4	1	1008	29	1040	0	1788
NK173	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__Sediminibacterium; s__	99.63	1082	1	3	8	1086	39	1120	0	1973
NK174	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Arthrobacter; s__niigatensis	98.594	1067	11	4	4	1066	31	1097	0	1884
NK45	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Arthrobacter; s__niigatensis	98.417	1011	11	5	1	1006	29	1039	0	1773
NK53	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Arthrobacter; s__globiformis	99.102	1002	4	5	2	998	41	1042	0	1796
NK152	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Arthrobacter; s__chlorophenolicus	97.899	1047	8	14	4	1036	31	1077	0	1799
NK83	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Arthrobacter; s__chlorophenolicus	99	1000	6	4	2	997	31	1030	0	1788
NK85	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	97.883	803	8	9	3	799	11	810	0	1380
NK192	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	99.339	1211	1	7	6	1209	45	1255	0	2185
NK187	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	99.286	981	2	5	5	980	44	1024	0	1768
NK22	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	99.188	985	0	8	3	979	40	1024	0	1768
NK52	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.625	1018	6	8	7	1016	44	1061	0	1796
NK240	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__	98.725	1020	7	6	11	1024	1	1020	0	1807
NK20	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	99.194	993	2	6	1	988	39	1030	0	1784
NK32	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__	98.912	1011	7	4	9	1015	46	1056	0	1803
NK211	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingobium; s__	98.854	960	7	4	21	978	4	961	0	1709
NK218	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Arthrobacter; s__globiformis	98.716	1168	9	5	15	1178	56	1221	0	2069
NK167	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Curtobacterium; s__	98.901	1001	7	4	3	999	31	1031	0	1784
NK202	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Curtobacterium; s__	99.404	1006	4	2	3	1006	37	1042	0	1823
NK74	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Erwinia; s__	98.33	1018	5	12	7	1012	17	1034	0	1775
NK04	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__	96.964	1087	6	27	14	1073	52	1138	0	1799
NK224	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__; g__; s__	98.815	928	6	5	10	932	40	967	0	1648
NK75	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__	98.807	1006	7	5	10	1010	52	1057	0	1786
NK03	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__	98.717	1013	6	7	6	1011	46	1058	0	1792
NK33	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__	99.043	1149	4	7	4	1149	44	1188	0	2054
NK90	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__	99.179	974	5	3	8	979	46	1018	0	1751
NK163	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__	98.31	1006	11	6	3	1003	43	1047	0	1759
NK178	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__	99.103	1003	5	4	7	1006	46	1047	0	1799
NK189	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__	99.281	974	3	4	8	978	52	1024	0	1757
NK207	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__	98.503	1002	10	5	8	1004	46	1047	0	1762
